label,name,list name,order
centimeter-scale,centimeter_sca,zq9sr00,
meter-scale,meter_scale,zq9sr00,
kilometer-scale,kilometer_scal,zq9sr00,
synform,synform,wg6ry31,
antiform,antiform,wg6ry31,
monocline,monocline,wg6ry31,
s-fold,s_fold,wg6ry31,
z-fold,z_fold,wg6ry31,
m-fold,m_fold,wg6ry31,
unknown,unknown,wg6ry31,
chevron,chevron,fa6tb91,0
cuspate,cuspate,fa6tb91,1
circular,circular,fa6tb91,2
elliptical,elliptical,fa6tb91,3
unknown,unknown,fa6tb91,
upright,upright,iq4bx64,0
overturned,overturned,iq4bx64,1
vertical,vertical,iq4bx64,2
horizontal,horizontal,iq4bx64,3
recumbent,recumbent,iq4bx64,4
inclined,inclined,iq4bx64,5
unknown,unknown,iq4bx64,
gentle   (180º –120º),gentle,ao3ks66,
open   (120º–70º),open,ao3ks66,
close   (70º–30º),close,ao3ks66,
tight   (30º–10º),tight,ao3ks66,
isoclinal   (10º–0º),isoclinal,ao3ks66,
North,north,iu9ug45,1
NNE,nne,iu9ug45,2
NE,ne,iu9ug45,3
ENE,ene,iu9ug45,4
East,east,iu9ug45,5
ESE,ese,iu9ug45,6
SE,se,iu9ug45,7
SSE,sse,iu9ug45,8
South,south,iu9ug45,9
SSW,ssw,iu9ug45,10
SW,sw,iu9ug45,11
WSW,wsw,iu9ug45,12
West,west,iu9ug45,13
WNW,wnw,iu9ug45,14
NW,nw,iu9ug45,15
NNW,nnw,iu9ug45,16
