name,type,label,required,hint,relevant,constraint,constraint_message,default,appearance
measured_plane,acknowledge,MEASURED PLANE?,false,,,,,,
strike,integer,Strike,true,Azimuth in degrees,${measured_plane} != '',. >= 0 and . <= 360,Strike must be between 0-360.,,
dip,integer,Dip,true,,${measured_plane} != '',. >= 0 and . <= 90,Dip must be between 0-90.,,
planar_surface_quality,select_one gl2mf38,Planar Surface Quality,false,Quality of the exposed plane? Irregular means the feature is curviplanar.,${strike} > 0,,,accurate,horizontal-compact
planar_measurement_quality,select_one xn9nf56,Planar Measurement Quality,false,How well was this plane measured?,${strike} > 0,,,3,likert
planar_feature_type,select_one ll25x57,Planar Feature Type,true,,${strike} > 0,,,,horizontal
contact_type,select_one lx9ax28,Contact Type,false,,${planar_feature_type} = 'contact',,,,horizontal
other_contact_type,text,Other Contact Type,false,,${contact_type} = 'other',,,,
depositional_contact_type,select_one bi4sw60,Depositional Contact Type,false,,${contact_type} = 'depositional',,,,horizontal
other_depositional_type,text,Other Depositional Type,false,,${depositional_contact_type} = 'other',,,,
unconformity_type,select_one dq27t21,Unconformity Type,false,,${depositional_contact_type} = 'unconformity',,,,horizontal
intruding_feature,select_one cj4zw02,Intruding Feature,false,What type of feature is intruding?,${contact_type} = 'intrusive',,,,horizontal
metamorphic_contact_type,select_one pb5wo52,Metamorphic Contact Type,false,,${contact_type} = 'metamorphic',,,,horizontal-compact
ohter_metamorphic_contact,note,Other Metamorphic Contact,false,,${metamorphic_contact_type} = 'other',,,,
marker_layer_details,note,Marker Layer Details,false,Notes about the marker layer,${contact_type} = 'marker_layer',,,No details specified.,
foliation_type,select_one vn7df87,Foliation Type,false,,${planar_feature_type} = 'foliation',,,not_specified,horizontal
other_foliation_type,text,Other Foliation Type,false,,${foliation_type} = 'other',,,,
solid_state_foliation_type,select_one lz7no78,Solid-state Foliation Type,false,,${foliation_type} = 'solid_state',,,not_specified,horizontal
other_solid_state_foliation_an,text,Other Solid-State Foliation and Description,false,,${solid_state_foliation_type} = 'other',,,,
tectonite_label,select_one su3eo23,Tectonite Label,false,,${solid_state_foliation_type} = 'cataclastic' or ${solid_state_foliation_type} = 'mylonitic' or ${solid_state_foliation_type} = 'schistosity' or ${solid_state_foliation_type} = 'gneissic_banding' or ${solid_state_foliation_type} = 'strain_marker',,,not_specified,horizontal-compact
gneissic_band_spacing_cm,decimal,Gneissic Band Spacing (cm),false,,${solid_state_foliation_type} = 'gneissic_banding',,,,
average_grain_size_mm_in_gne,integer,Average Grain Size (mm) in Gneissic Bands,false,,${solid_state_foliation_type} = 'gneissic_banding',,,,
cleavage_type,select_one dr5ab45,Cleavage Type,false,,${foliation_type} = 'cleavage',,,not_specified,horizontal
other_cleavage,text,Other Cleavage,false,,${cleavage_type} = 'other_new',,,,
axial_planar_cleavage,acknowledge,Axial Planar Cleavage?,false,,${planar_feature_type} = 'axial_planar_s',,,,
vein_mineral_fill,select_one pa42s24,Vein Mineral Fill,true,,${planar_feature_type} = 'joint',,,,likert
other_vein_mineral,text,Other Vein Mineral,true,,${vein_mineral_fill} = 'other',,,,
