label,name,order,list name
bedding,bedding,0,ll25x57
foliation,foliation,1,ll25x57
flow layering,flow_layering,2,ll25x57
joint,joint,3,ll25x57
fracture,fracture,4,ll25x57
fault plane,fault_plane,5,ll25x57
axial surface,axial_surface,6,ll25x57
stylolite,stylolite,7,ll25x57
fold hinge,fold_hinge,8,ll25x57
lineation,lineation,9,ll25x57
striation,striation,10,ll25x57
cleavage,cleavage,11,ll25x57
shear zone,shear_zone,12,ll25x57
direction,direction,13,ll25x57
vector,vector,14,ll25x57
striated surface,striated_surface,15,ll25x57
fold limb,fold_limb,16,ll25x57
other / new,other_new,,ll25x57
contact,contact,,ll25x57
plane,plane,,du3mh76
line,line,,du3mh76
Yes,yes,,pk6nu99
Yes,yes,,jt5sj80
Yes,yes,,qe5jp53
Yes,yes,,wa8up41
the fault description/form should open,fault_desc,,oe1jo33
the contact description/form should open,contact_desc,,yf8xk95
the fold description/form should open,fold_desc,,ai64o12
the shear zone description/form should open,shear_zone_des,,bs7tp75
upright,upright,,to1en66
overturned,overturned,,to1en66
vertical,vertical,,to1en66
unknown,unknown,,to1en66
not specified,not_specified,,to1en66
Yes,yes,,kn36u14
anticline,anticline,,oa9ot58
monocline,monocline,,oa9ot58
antiformal syncline,antiformal_syn,,oa9ot58
synformal anticline,synformal_anti,,oa9ot58
antiform,antiform,,oa9ot58
synform,synform,,oa9ot58
s-fold,sfold,,oa9ot58
z-fold,zfold,,oa9ot58
m-fold,mfold,,oa9ot58
syncline,syncline,,oa9ot58
not specified,not_specified,,oa9ot58
overturned,overturned,,eu4ay01
vertical,vertical,,eu4ay01
horizontal,horizontal,,eu4ay01
recumbent,recumbent,,eu4ay01
inclined,inclined,,eu4ay01
upright,upright,,eu4ay01
not specified,not_specified,,eu4ay01
accurate,accurate,,gl2mf38
approximate,approximate,,gl2mf38
irregular,irregular,,gl2mf38
1,one,,xn9nf56
2,two,,xn9nf56
3,three,,xn9nf56
4,four,,xn9nf56
5,five,,xn9nf56
solid-state,solid_state,0,vn7df87
magmatic,magmatic,1,vn7df87
migmatitic,migmatitic,2,vn7df87
not specified,not_specified,3,vn7df87
cleavage,cleavage,4,vn7df87
other,other,5,vn7df87
slatey,slatey,,dr5ab45
phyllitic,phyllitic,,dr5ab45
crenulation,crenulation,,dr5ab45
phacoidal,phacoidal,,dr5ab45
not specified,not_specified,,dr5ab45
other / new,other_new,,dr5ab45
mylonitic,mylonitic,0,lz7no78
cataclastic,cataclastic,1,lz7no78
lenticular,lenticular,2,lz7no78
"strain markers (e.g., flattened pebbles)",strain_marker,3,lz7no78
not specified,not_specified,4,lz7no78
other,other,5,lz7no78
schistosity,schistosity,,lz7no78
gneissic banding,gneissic_banding,,lz7no78
S,s,,of53v22
C,c,,of53v22
C',c_1,,of53v22
not specified,not_specified,,of53v22
S tectonite,s_tectonite,,su3eo23
S-L tectonite,s_l_tectonite,,su3eo23
L-S tectonite,l_s_tectonite,,su3eo23
L tectonite,l_tectonite,,su3eo23
not specified,not_specified,,su3eo23
Yes,yes,,gs9eo09
No,no,,gs9eo09
Yes,yes,,on2yb53
No,no,,on2yb53
