name,type,label,required,default,hint,relevant,constraint
sample_id_name,text,Sample specific ID / name:,true,not specified,,,
oriented_sample,select_one hz9zw76,Oriented sample?,true,,,,
sample_orientation_strike,integer,Sample Orientation Strike:,false,,What's the strike of orientation mark / surface?,${oriented_sample} = 'yes',. <= 360 and . >= 0
sample_orientation_dip,integer,Sample Orientation Dip,true,,What's the dip of orientation mark / surface?,${oriented_sample} = 'yes',. >= 0 and . <= 90
material_type,select_one jq8qd30,material type:,true,not specified,,,
material_details,note,material details:,false,,,${material_type} != '',
approx_size_cm,integer,approximate size / diameter (cm),true,,,,
main_sampling_purpose,select_one to0mv13,main sampling purpose:,true,,,,
sample_description,note,Sample Description:,false,,,,
other_comments_about_sampling,note,Other comments about sampling:,false,,,,
inferred_age_ma,integer,inferred age (Ma)?,false,,,,
start,start,,,,,,
end,end,,,,,,
